-245605 -0.168426 -0.137102
-245544 -0.168342 -0.137088
-245483 -0.168258 -0.137074
-245422 -0.168174 -0.13706
-245361 -0.168089 -0.137046
-245300 -0.168005 -0.137033
-245239 -0.167921 -0.137019
-245178 -0.167837 -0.137005
-245117 -0.167752 -0.136991
-245056 -0.167668 -0.136977
-244995 -0.167584 -0.136964
-244934 -0.1675 -0.13695
-244873 -0.167415 -0.136936
-244812 -0.167331 -0.136922
-244751 -0.167247 -0.136908
-244690 -0.167162 -0.136894
-244629 -0.167078 -0.136881
-244568 -0.166994 -0.136867
-244507 -0.166909 -0.136853
-244446 -0.166825 -0.136839
-244385 -0.16674 -0.136825
-244324 -0.166656 -0.136811
-244263 -0.166571 -0.136798
-244202 -0.166487 -0.136784
-244141 -0.166403 -0.13677
-244080 -0.166318 -0.136756
-244019 -0.166234 -0.136742
-243958 -0.166149 -0.136728
-243896 -0.166065 -0.136714
-243835 -0.16598 -0.136701
-243774 -0.165896 -0.136687
-243713 -0.165811 -0.136673
-243652 -0.165727 -0.136659
-243591 -0.165642 -0.136645
-243530 -0.165557 -0.136631
-243469 -0.165473 -0.136617
-243408 -0.165388 -0.136604
-243347 -0.165304 -0.13659
-243286 -0.165219 -0.136576
-243225 -0.165134 -0.136562
-243164 -0.16505 -0.136548
-243103 -0.164965 -0.136534
-243042 -0.16488 -0.13652
-242981 -0.164796 -0.136506
-242920 -0.164711 -0.136493
-242859 -0.164626 -0.136479
-242798 -0.164542 -0.136465
-242737 -0.164457 -0.136451
-242676 -0.164372 -0.136437
-242615 -0.164287 -0.136423
-242554 -0.164203 -0.136409
-242493 -0.164118 -0.136395
-242432 -0.164033 -0.136381
-242371 -0.163948 -0.136368
-242310 -0.163863 -0.136354
-242249 -0.163779 -0.13634
-242188 -0.163694 -0.136326
-242126 -0.163609 -0.136312
-242065 -0.163524 -0.136298
-242004 -0.163439 -0.136284
-241943 -0.163354 -0.13627
-241882 -0.163269 -0.136256
-241821 -0.163184 -0.136242
-241760 -0.163099 -0.136228
-241699 -0.163015 -0.136214
-241638 -0.16293 -0.136201
-241577 -0.162845 -0.136187
-241516 -0.16276 -0.136173
-241455 -0.162675 -0.136159
-241394 -0.16259 -0.136145
-241333 -0.162505 -0.136131
-241272 -0.16242 -0.136117
-241211 -0.162335 -0.136103
-241150 -0.162249 -0.136089
-241089 -0.162164 -0.136075
-241028 -0.162079 -0.136061
-240967 -0.161994 -0.136047
-240906 -0.161909 -0.136033
-240845 -0.161824 -0.136019
-240784 -0.161739 -0.136005
-240723 -0.161654 -0.135991
-240662 -0.161568 -0.135977
-240601 -0.161483 -0.135963
-240540 -0.161398 -0.13595
-240479 -0.161313 -0.135936
-240417 -0.161228 -0.135922
-240356 -0.161142 -0.135908
-240295 -0.161057 -0.135894
-240234 -0.160972 -0.13588
-240173 -0.160887 -0.135866
-240112 -0.160801 -0.135852
-240051 -0.160716 -0.135838
-239990 -0.160631 -0.135824
-239929 -0.160545 -0.13581
-239868 -0.16046 -0.135796
-239807 -0.160375 -0.135782
-239746 -0.160289 -0.135768
-239685 -0.160204 -0.135754
-239624 -0.160119 -0.13574
-239563 -0.160033 -0.135726
-239502 -0.159948 -0.135712
-239441 -0.159862 -0.135698
-239380 -0.159777 -0.135684
-239319 -0.159691 -0.13567
-239258 -0.159606 -0.135656
-239197 -0.15952 -0.135642
-239136 -0.159435 -0.135628
-239075 -0.159349 -0.135614
-239014 -0.159264 -0.1356
-238953 -0.159178 -0.135586
-238892 -0.159093 -0.135572
-238831 -0.159007 -0.135558
-238770 -0.158922 -0.135544
-238708 -0.158836 -0.135529
-238647 -0.15875 -0.135515
-238586 -0.158665 -0.135501
-238525 -0.158579 -0.135487
-238464 -0.158493 -0.135473
-238403 -0.158408 -0.135459
-238342 -0.158322 -0.135445
-238281 -0.158236 -0.135431
-238220 -0.158151 -0.135417
-238159 -0.158065 -0.135403
-238098 -0.157979 -0.135389
-238037 -0.157893 -0.135375
-237976 -0.157808 -0.135361
-237915 -0.157722 -0.135347
-237854 -0.157636 -0.135333
-237793 -0.15755 -0.135319
-237732 -0.157464 -0.135305
-237671 -0.157378 -0.135291
-237610 -0.157293 -0.135276
-237549 -0.157207 -0.135262
-237488 -0.157121 -0.135248
-237427 -0.157035 -0.135234
-237366 -0.156949 -0.13522
-237305 -0.156863 -0.135206
-237244 -0.156777 -0.135192
-237183 -0.156691 -0.135178
-237122 -0.156605 -0.135164
-237061 -0.156519 -0.13515
-237000 -0.156433 -0.135136
-236938 -0.156347 -0.135121
-236877 -0.156261 -0.135107
-236816 -0.156175 -0.135093
-236755 -0.156089 -0.135079
-236694 -0.156003 -0.135065
-236633 -0.155917 -0.135051
-236572 -0.155831 -0.135037
-236511 -0.155744 -0.135023
-236450 -0.155658 -0.135009
-236389 -0.155572 -0.134994
-236328 -0.155486 -0.13498
-236267 -0.1554 -0.134966
-236206 -0.155314 -0.134952
-236145 -0.155227 -0.134938
-236084 -0.155141 -0.134924
-236023 -0.155055 -0.13491
-235962 -0.154969 -0.134896
